craft_type,region,data_points,train_points,test_points,effective_test_points,arima_metrics,prophet_metrics,hybrid_metrics,arima_improvement,prophet_improvement,hybrid_improvement,arima_params,prophet_regressors,bias_correction,final_weights,adaptive_window,start_date,end_date,date_range_years
Bamboo_crafts,Andhra_Pradesh,1566,1252,314,300,"{'mae': 7.10305812250229, 'rmse': np.float64(8.540713215832586), 'mape': np.float64(8.066767833866312), 'r2': -0.00032248330273132453, 'accuracy': np.float64(91.93323216613369)}","{'mae': 6.851765046202608, 'rmse': np.float64(8.2089528632539), 'mape': np.float64(7.541661507664535), 'r2': 0.07588232748566848, 'accuracy': np.float64(92.45833849233547)}","{'mae': 3.74551634391813, 'rmse': np.float64(4.886063831776557), 'mape': np.float64(4.194878404137249), 'r2': 0.6726065213485002, 'accuracy': np.float64(95.80512159586274)}",3.871889429729052,3.3467831035272724,3.3467831035272724,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4915705321099244), 'Enhanced_Prophet': np.float64(0.5084294678900756)}",14,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Arunachal_Pradesh,1566,1252,314,303,"{'mae': 7.834257233900572, 'rmse': np.float64(8.574725510569783), 'mape': np.float64(8.459234949776667), 'r2': -0.19776219060714495, 'accuracy': np.float64(91.54076505022333)}","{'mae': 7.506762861206626, 'rmse': np.float64(9.132232332345644), 'mape': np.float64(8.250098850236062), 'r2': -0.3585763503333095, 'accuracy': np.float64(91.74990114976394)}","{'mae': 3.5529780545909313, 'rmse': np.float64(4.9098092579846995), 'mape': np.float64(3.9786725998130295), 'r2': 0.6073013687098077, 'accuracy': np.float64(96.02132740018698)}",4.480562349963648,4.271426250423033,4.271426250423033,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5156189809718107), 'Enhanced_Prophet': np.float64(0.48438101902818925)}",11,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Assam,1566,1252,314,300,"{'mae': 8.223349842076338, 'rmse': np.float64(9.47878394865107), 'mape': np.float64(9.299698332395703), 'r2': -0.03400853254150582, 'accuracy': np.float64(90.7003016676043)}","{'mae': 7.6284144774999945, 'rmse': np.float64(9.25346429359846), 'mape': np.float64(8.602578531409542), 'r2': 0.014565913427259547, 'accuracy': np.float64(91.39742146859047)}","{'mae': 3.945312305639133, 'rmse': np.float64(5.313593397610097), 'mape': np.float64(4.485315747858247), 'r2': 0.6750657350965761, 'accuracy': np.float64(95.51468425214175)}",4.814382584537455,4.117262783551283,4.117262783551283,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5085211904758831), 'Enhanced_Prophet': np.float64(0.49147880952411693)}",14,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Bihar,1566,1252,314,305,"{'mae': 8.313831765987617, 'rmse': np.float64(9.240834907188905), 'mape': np.float64(9.1095255680512), 'r2': -0.13738057612133892, 'accuracy': np.float64(90.8904744319488)}","{'mae': 7.068291910097924, 'rmse': np.float64(8.394250223963775), 'mape': np.float64(7.746481254032153), 'r2': 0.06147205956556456, 'accuracy': np.float64(92.25351874596785)}","{'mae': 4.021661150061319, 'rmse': np.float64(5.2225637088284245), 'mape': np.float64(4.512480489616046), 'r2': 0.6367121464953454, 'accuracy': np.float64(95.48751951038395)}",4.597045078435144,3.234000764416095,3.234000764416095,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5183094068826372), 'Enhanced_Prophet': np.float64(0.48169059311736284)}",9,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Chandigarh,1566,1252,314,303,"{'mae': 8.59360349945165, 'rmse': np.float64(9.448001194643243), 'mape': np.float64(9.399092337595352), 'r2': -0.1588259631302804, 'accuracy': np.float64(90.60090766240465)}","{'mae': 7.454371431029601, 'rmse': np.float64(8.966932042992685), 'mape': np.float64(8.251351122297), 'r2': -0.0438211556317194, 'accuracy': np.float64(91.748648877703)}","{'mae': 4.035668701213341, 'rmse': np.float64(5.292902428651096), 'mape': np.float64(4.551510182415015), 'r2': 0.6363143929604929, 'accuracy': np.float64(95.44848981758498)}",4.8475821551803335,3.6998409398819803,3.6998409398819803,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.48690057202415826), 'Enhanced_Prophet': np.float64(0.5130994279758418)}",11,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Chhattisgarh,1566,1252,314,300,"{'mae': 8.665065393947078, 'rmse': np.float64(9.556350802158635), 'mape': np.float64(9.38677267030929), 'r2': -0.26289483722752816, 'accuracy': np.float64(90.61322732969072)}","{'mae': 7.487050649579146, 'rmse': np.float64(8.920401036463796), 'mape': np.float64(8.140217933938843), 'r2': -0.10040303418529106, 'accuracy': np.float64(91.85978206606116)}","{'mae': 4.058674609332264, 'rmse': np.float64(5.361550516117195), 'mape': np.float64(4.594320761768262), 'r2': 0.6024755689235206, 'accuracy': np.float64(95.40567923823174)}",4.792451908541025,3.5458971721705836,3.5458971721705836,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.5066825964143727), 'Enhanced_Prophet': np.float64(0.49331740358562726)}",14,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Delhi,1566,1252,314,300,"{'mae': 5.886698323568233, 'rmse': np.float64(7.071453252549127), 'mape': np.float64(6.465499011007411), 'r2': -0.016065541109681503, 'accuracy': np.float64(93.53450098899259)}","{'mae': 7.500517666104345, 'rmse': np.float64(8.897161896348178), 'mape': np.float64(8.002119252551482), 'r2': -0.6084492405026163, 'accuracy': np.float64(91.99788074744852)}","{'mae': 3.2168103920036346, 'rmse': np.float64(4.358700944817726), 'mape': np.float64(3.545997364713332), 'r2': 0.6139722559971371, 'accuracy': np.float64(96.45400263528667)}",2.91950164629408,4.456121887838151,2.91950164629408,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4989221717194421), 'Enhanced_Prophet': np.float64(0.5010778282805579)}",14,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Goa,1566,1252,314,300,"{'mae': 6.6469776199708885, 'rmse': np.float64(7.982742922572146), 'mape': np.float64(7.441401725163891), 'r2': -0.006396626878018896, 'accuracy': np.float64(92.55859827483611)}","{'mae': 7.462593659348107, 'rmse': np.float64(9.07033094967388), 'mape': np.float64(8.17306357229988), 'r2': -0.2993051283576933, 'accuracy': np.float64(91.82693642770012)}","{'mae': 3.658367375516717, 'rmse': np.float64(4.771943747358067), 'mape': np.float64(4.075846472940016), 'r2': 0.6403703282497137, 'accuracy': np.float64(95.92415352705999)}",3.3655552522238708,4.097217099359867,3.3655552522238708,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.49623432277008905), 'Enhanced_Prophet': np.float64(0.503765677229911)}",14,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Gujarat,1566,1252,314,303,"{'mae': 5.479807954286929, 'rmse': np.float64(6.6731969300316765), 'mape': np.float64(5.9865124707347945), 'r2': -0.027567636458552203, 'accuracy': np.float64(94.0134875292652)}","{'mae': 6.468231964307281, 'rmse': np.float64(7.5966963283100934), 'mape': np.float64(6.824632157910236), 'r2': -0.33165605237133255, 'accuracy': np.float64(93.17536784208977)}","{'mae': 2.6699822192741243, 'rmse': np.float64(3.8659665036241324), 'mape': np.float64(2.927633931146607), 'r2': 0.655127386253733, 'accuracy': np.float64(97.0723660688534)}",3.058878539588193,3.8969982267636283,3.058878539588193,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4956732589197481), 'Enhanced_Prophet': np.float64(0.5043267410802519)}",11,1995-01-01,2024-12-29,29.99315537303217
Bamboo_crafts,Haryana,1566,1252,314,303,"{'mae': 7.5950307487088535, 'rmse': np.float64(8.931814940555148), 'mape': np.float64(8.606846554275018), 'r2': -0.012351186995197994, 'accuracy': np.float64(91.39315344572498)}","{'mae': 7.9594934351163245, 'rmse': np.float64(9.503071599910111), 'mape': np.float64(8.879834121261382), 'r2': -0.14598719957488937, 'accuracy': np.float64(91.12016587873862)}","{'mae': 4.010378503192065, 'rmse': np.float64(5.190224694447985), 'mape': np.float64(4.535139166211116), 'r2': 0.6581590528113188, 'accuracy': np.float64(95.46486083378889)}",4.071707388063913,4.344694955050272,4.071707388063913,"(2, 1, 2)",6,gradient_boosting,"{'Enhanced_ARIMA': np.float64(0.4918891698226739), 'Enhanced_Prophet': np.float64(0.5081108301773261)}",11,1995-01-01,2024-12-29,29.99315537303217
